Common Name,Scientific Name,Image URL,Freshwater,Saltwater
African jewelfish,Hemichromis bimaculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Hemichromis_bimaculatus1.jpg/120px-Hemichromis_bimaculatus1.jpg,Yes,No
African pompano,Alectis ciliaris,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/African_pompano_Solomons_2.jpg/120px-African_pompano_Solomons_2.jpg,No,Yes
Alabama shad,Alosa alabamae,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/FMIB_33827_Alabama_Shad.jpeg/120px-FMIB_33827_Alabama_Shad.jpeg,Yes,Yes
Alewife,Alosa pseudoharengus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Alosa_pseudoharengus.jpg/120px-Alosa_pseudoharengus.jpg,Yes,Yes
Alligator gar,Atractosteus spatula,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Alligator_Gar_10.JPG/120px-Alligator_Gar_10.JPG,Yes,No
Almaco jack,Seriola rivoliana,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Almaco_jack.PNG/120px-Almaco_jack.PNG,No,Yes
Amazon sailfin catfish,Pterygoplichthys pardalis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Liposarcus_pardalis.jpg/120px-Liposarcus_pardalis.jpg,Yes,No
Amberjack,Seriola,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Seriola_dumerili.jpg/120px-Seriola_dumerili.jpg,No,Yes
American butterfish,Peprilus triacanthus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Poronotus_triacanthus.jpg/120px-Poronotus_triacanthus.jpg,No,Yes
American conger,Conger oceanicus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Conger_oceanicus.jpg/120px-Conger_oceanicus.jpg,No,Yes
American eel,Anguilla rostrata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/American_Eel.jpg/120px-American_Eel.jpg,Yes,Yes
